Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
1116,standing clock,standing clock; grandfather clock; floor clock; tall clock; pendulum clock,20,35,55,120,200,300,Yes,No,0,Usually,6,9,12,0,0,0,2,3.5,5.5,2.5,4,6,4,6,8.5,2,3,4,0.95,1.05,1.15,,,
1117,space heater,space heater; heater; portable heater; electric heater,3,6,10,15,30,50,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1118,fan,fan; standing fan; tower fan; floor fan; pedestal fan,3,5,8,10,20,35,No,Yes,15,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1119,sports bag,sports bag; hockey bag; golf bag; equipment bag; gear bag,6,10,16,20,40,70,No,Yes,30,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1120,cart,cart; stroller; wagon; push cart; utility cart; garden cart; folding wagon,10,18,25,25,45,80,No,Yes,15,Yes,3,4,6,0,0,0,0,0.5,1,0,0,0,1,1.5,2.5,0.5,0.5,1,0.9,1,1.1,,,
1121,ride on toy,ride on toy; ride on car; kids car; power wheels;  kids ride on,12,20,30,30,50,90,No,Yes,15,Usually,3,4,6,0,0,0,0,1,1.5,0,0,0,1,1.5,2.5,0.5,0.5,1,0.9,1,1.1,,,
1122,car seat,car seat; baby car seat; booster seat; child seat,4,6,10,10,20,35,No,Yes,30,Yes,2,2,3,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1123,cooler,cooler; ice chest; camping cooler; igloo cooler,6,10,16,20,40,70,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1124,tool bag,tool bag; tool box; toolbox; tool kit; tools bag,6,10,16,25,45,80,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1125,pet crate,pet crate; dog crate; cat crate; animal crate; kennel,8,12,20,20,40,70,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0.5,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0.85,0.95,1.05,,,
1126,bike,bike; bicycle; mountain bike; road bike; kids bike; bmx; electric bike; e bike,6,10,16,20,35,60,No,Yes,15,Yes,2,3,4,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0.5,0.5,0.85,0.95,1.05,,,
1127,commercial fridge,commercial fridge; display fridge; drink cooler; glass door fridge; restaurant fridge; store fridge; merchandiser fridge,45,75,110,250,380,520,Yes,No,0,Usually,8,13,18,0,0,0,6,10,14,7.5,12,17,7.5,12,17.5,4,6,9,1,1.1,1.2,,,
1128,vending machine,vending machine; snack machine; soda machine; drink machine; pop machine,40,70,110,300,450,600,Yes,No,0,Usually,9,14,20,0,0,0,5,9,13.5,8.5,13,18,7.5,12,17.5,3.5,6,9,1,1.1,1.2,,,
