Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
273,tufted_armchair,"armchair, tufted chair, upholstered armchair",5,8,10,100,160,200,Yes,No,0,depends,6,10,14,0,1,2,4,6,8,0,8,10,0.5,1.5,3,0.5,1,2,0.9,1,1.1,"upholstered tufted armchair, bulky and heavy",00:00.0,00:00.0
274,tall_floor_lamp,"floor lamp, tall lamp, standing lamp",2,4,6,20,40,60,No,No,0,yes,4,6,8,0,2,4,0,2,4,0,0,0,0.5,1,2,0.5,1,1,0.95,1,1.08,"tall standing lamp, narrow but awkward length",00:00.0,00:00.0
275,large_potted_plant,"potted plant, plant, large plant",6,15,30,60,150,300,Yes,No,0,depends,6,9,14,0,0,0,4,8,10,0,10,15,1,2,4,1,2,3,0.9,1.03,1.18,"large potted plant, fragile and heavy due to soil",00:00.0,00:00.0
276,small_round_side_table,"side table, end table, round side table",4,4,4,40,40,40,No,No,0,yes,4,4,4,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,1,0.95,1,1.05,"small round side table, compact and easy to carry",00:00.0,00:00.0
277,patterned_accent_chair,"accent chair, patterned chair, decorative chair",5,8,10,90,145,180,Yes,No,0,depends,6,8,12,0,1,2,4,6,8,0,8,10,0.5,1.5,3,0.5,1,2,0.9,1,1.1,"upholstered accent chair, patterned fabric; bulky",00:00.0,00:00.0
280,bookshelf_3_shelf_small,"3-shelf bookshelf,bookcase,small bookshelf,shelf unit",10,12,15,30,45,60,No,No,0,depends,5,8,12,3,6,8,2,4,6,0,0,0,0.5,1.5,2.5,0.5,1,1.5,0.9,1.02,1.15,small 3-shelf bookshelf mapped to small dresser/bookshelf archetype; moderate disassembly for shelves,00:00.0,00:00.0
282,small_white_bookcase,"bookcase,bookshelf,book_shelf,small_bookcase,white_bookshelf",8,15,25,50,60,70,No,No,0,yes,4,8,12,6,8,12,0,2,6,0,0,0,0.5,1,2,0.5,1,2,0.9,1.02,1.12,small white bookcase; shelves may need removal for transport,00:00.0,00:00.0
286,medium_ergonomic_office_chair_with_headrest,"office chair,ergonomic chair,desk chair,chair with headrest",6.8,8,9.2,30,35,40,No,No,0,yes,5,8,11,0,2,2,0,0,0,0,0,0,0.5,1,2,0.5,1,2,0.9,0.98,1.1,"medium ergonomic office chair, typical one-person carry",00:00.0,00:00.0
287,three_shelf_bookcase_small,"bookcase,bookshelf,3-shelf bookcase,small bookcase",7.65,9,10.35,60,70,80,Yes,No,0,depends,4,6,8,0,6,12,0,4,6,0,0,0,0.5,1.5,3,0.5,1,2,0.9,1,1.15,"small 3-shelf bookcase; awkward/medium weight, may need two movers or partial disassembly",00:00.0,00:00.0
289,adjustable_ergonomic_office_chair,"ergonomic_office_chair,task_chair,adjustable_office_chair",6.8,8,9.2,40,45,50,No,No,0,yes,5,8,12,0,0,0,0,0,0,0,0,0,0.5,1,2,0.5,1,2,0.9,1,1.1,"medium adjustable office chair; typical task chair, no disassembly needed",00:00.0,00:00.0
290,three_shelf_bookshelf,"3-shelf_bookshelf,three_shelf_bookcase,bookshelf_3_shelf",17,20,23,100,120,140,Yes,No,0,depends,6,10,14,2,6,10,4,6,8,0,0,5,0.5,1.5,2.5,0.5,1.5,2,0.9,1,1.15,"medium three-shelf wood bookcase; heavy and awkward, may need partial disassembly",00:00.0,00:00.0
293,small_three_shelf_bookcase,"bookcase,bookshelf,3-shelf_bookcase,small_book_shelf",10.2,12,13.8,35,40,45,No,No,0,yes,5,8,12,0,6,10,0,2,5,0,0,0,0,1,2,0,1,2,0.9,1,1.12,small 3-shelf bookcase mapped to small dresser archetype; minor disassembly possible,00:00.0,00:00.0
295,coffee_table_trunk,"coffee table, storage trunk, trunk coffee table, storage coffee table",8.5,10,11.5,55,65,75,No,No,0,yes,5,8,12,0,0,0,0,4,6,0,0,0,0,1,2,0,1,2,0.9,1,1.1,"Medium coffee table with storage trunk; moderate volume, composite wood, no disassembly",00:00.0,00:00.0
298,storage_trunk_decorative_chest,"storage_trunk,decorative_chest,hope_chest,cedar_chest,blanket_trunk,wooden_trunk",25.5,30,34.5,40,80,120,Yes,No,0,depends,5,8,14,0,0,0,4,6,8,0,0,0,0.5,1.5,3,0.5,1,2,0.9,1,1.15,"Large wooden/decorative trunk — bulky, often requires two movers; not stackable.",00:00.0,00:00.0
299,coffee_table_storage_trunk,"coffee table, storage trunk, storage coffee table, trunk table, lift-top coffee table",15,18,21,95,110,125,Yes,No,0,depends,5,8,14,0,2,4,4,6,8,0,0,0,0.5,1.5,2.5,0.5,1,2,0.9,1,1.1,"large wooden storage coffee table; bulky and heavy, likely requires two movers",00:00.0,00:00.0
305,small_3_shelf_bookshelf,"bookshelf,bookcase,3-shelf bookcase,small bookcase",10,12,14,50,60,70,No,No,0,yes,5,8,12,3,6,8,0,4,6,0,0,0,0,1,2,0,1,2,0.9,1,1.1,"small 3-shelf bookcase, likely composite, minor disassembly possible",00:00.0,00:00.0
308,bookcase_3_shelf_small,"small bookcase,3-shelf bookcase,bookshelf small",10,15,20,50,60,70,No,No,0,yes,5,8,12,4,6,8,2,4,6,0,0,0,0,1,2,0,1,2,0.9,1,1.1,small 3-shelf bookcase; remove shelves for disassembly.,00:00.0,00:00.0
309,area_rug_medium,"rug,area rug medium,floor rug",4,8,12,20,25,30,Yes,Yes,15,yes,4,6,8,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0.85,0.95,1.05,"medium area rug rolled; long dimension >72 in, stackable",00:00.0,00:00.0
310,ergonomic_office_chair_headrest,"office chair,ergonomic chair,task chair,adjustable office chair,office chair with headrest",7.5,8.8,10.1,35,40,45,No,No,0,yes,5,8,12,0,0,0,0,0,2,0,0,0,0.5,1,2,0.5,1,1.5,0.9,1,1.1,"medium ergonomic office chair with headrest, typical size and weight",00:00.0,00:00.0
311,bookshelf_small,"bookshelf,bookcase,small bookcase",10.2,12,13.8,40,45,50,No,No,0,yes,6,8,12,4,6,8,2,4,6,0,0,0,0.5,1,2,0.5,1,1.5,0.9,1,1.15,"small wooden bookshelf, may need shelf removal for transport",00:00.0,00:00.0
312,area_rug_small,"area rug,small rug,throw rug,5x7 rug",2.6,3,3.5,10,10,10,Yes,Yes,15,yes,3,4,5,0,0,0,0,0,0,0,0,0,0.5,1,2,0.5,1,1.5,0.85,0.95,1.05,"small rolled area rug, lightweight but >72"" length may need two movers",00:00.0,00:00.0
313,ergonomic_office_chair_with_headrest,"office chair,ergonomic chair,task chair,desk chair,chair with headrest",7.82,9.2,10.58,45,50,60,No,No,0,depends,5,8,10,0,2,2,0,4,6,0,0,0,0,1,2,0,1,2,0.9,1,1.1,Medium ergonomic office chair with headrest; minor disassembly for headrest/arms.,00:00.0,00:00.0
314,freestanding_bookshelf_small,"bookshelf,bookcase,small bookshelf,freestanding bookcase",12,12,12,45,45,45,No,No,0,depends,8,8,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.88,0.98,1.08,Small freestanding bookshelf mapped to small dresser archetype; no disassembly.,00:00.0,00:00.0
316,small_3_shelf_bookcase,"3-shelf bookcase,small bookshelf,compact bookcase",15.3,18,20.7,50,60,70,No,No,0,depends,6,10,14,2,6,10,0,4,8,0,0,0,1,2,3,0,1,2,0.9,1.02,1.12,small 3-shelf composite bookcase; may need partial disassembly for tight spaces,00:00.0,00:00.0
318,small_bookshelf,"bookshelf,bookcase,small_bookcase",10.2,12,13.8,60,70,80,No,No,0,yes,6,10,14,0,6,12,0,4,6,0,0,0,0.5,1.5,2.5,0.5,1,2,0.9,1,1.1,small wood/composite bookshelf; compact but may need shelf removal for narrow routes,00:00.0,00:00.0
320,mesh_ergonomic_office_chair_with_headrest,"office_chair,ergonomic_chair,mesh_chair,task_chair,desk_chair,chair_with_headrest",6.8,8,9.2,35,40,45,No,No,0,yes,5,8,12,0,1,2,0,0,0,0,0,0,0.5,1,2,0.5,1,1.5,0.92,0.98,1.08,mesh ergonomic office chair with headrest; typical office chair archetype,00:00.0,00:00.0
321,small_cube_bookshelf,"bookshelf,book_shelf,cube_shelf,kallax_style,shelf_unit,small_bookshelf",6,6,6,25,30,35,No,No,0,yes,5,6,8,0,6,10,0,0,0,0,0,0,0.5,1,2,0.5,1,1,0.9,1,1.1,"small cube bookshelf (cube shelf unit), lightweight composite material",00:00.0,00:00.0
323,large_storage_trunk_coffee_table,"storage trunk,coffee table trunk,storage_coffee_table,wooden trunk",17,20,23,75,90,105,Yes,No,0,depends,5,12,16,0,0,0,2,4,6,0,0,0,0.5,1.5,2.5,0,1,2,0.88,1.02,1.12,"large wooden storage trunk/coffee table; heavy and bulky, two movers recommended",00:00.0,00:00.0
324,mesh_office_chair_with_headrest,"office chair,mesh chair,ergonomic chair,office_chair_headrest",6.8,8,9.2,40,45,50,No,No,0,yes,4,8,12,0,1,2,0,0,0,0,0,0,0.5,1,2,0,1,2,0.9,1,1.1,medium ergonomic mesh office chair with headrest; minimal disassembly,00:00.0,00:00.0
325,ergonomic_office_chair,"office chair,ergonomic chair,task chair,adjustable office chair",5,8,10,40,45,50,No,No,0,yes,4,8,12,0,1,2,0,2,4,0,0,0,0.5,1,2,0.5,1,2,0.9,0.98,1.1,"adjustable ergonomic office chair; single-person lift, no major disassembly",00:00.0,00:00.0
326,three_shelf_small_bookshelf,"bookshelf,3-shelf bookcase,small bookcase,bookshelf small",12,18,25,50,60,70,No,No,0,depends,6,10,14,2,6,10,2,4,6,0,0,0,0.5,1.5,2.5,0.5,1,2,0.9,1.02,1.15,"small three-shelf bookcase; may require partial disassembly, fits depends on doorway",00:00.0,00:00.0
327,medium_area_rug,"area rug,rug,rolled rug,medium rug",3,6,9,25,30,35,No,Yes,20,yes,4,6,8,0,0,0,0,1,2,0,0,0,0.5,1,2,0.5,1,1.5,0.88,0.98,1.08,"rolled medium area rug; soft good, compressible and stackable",00:00.0,00:00.0
328,adjustable_office_chair,"office chair,task chair,adjustable swivel chair",5,8,10,35,40,45,No,No,0,yes,5,8,10,0,2,2,0,0,2,0,0,0,1,2,3,0,1,2,0.9,1,1.1,"medium task chair, typical adjustable office chair, minimal disassembly",00:00.0,00:00.0
329,medium_bookshelf,"bookshelf,bookcase,medium bookcase,storage shelf",12,25,60,85,100,115,Yes,No,0,depends,8,14,20,0,10,20,0,4,8,0,0,0,1,2,3,0,1,2,0.9,1.05,1.15,"medium bookcase, heavy and tall; likely two movers and partial disassembly",00:00.0,00:00.0
330,small_area_rug,"area rug,throw rug,small rug",1,3,6,10,25,40,No,Yes,20,yes,3,6,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0.95,0.95,1.05,"small rollable area rug, soft good, stackable and quick to handle",00:00.0,00:00.0
331,steamer_trunk_coffee_table,"steamer trunk,trunk coffee table,antique steamer trunk,large trunk coffee table,steamer_trunk_table",34,40,46,95,110,125,Yes,No,0,depends,5,8,14,0,0,0,4,6,8,0,0,0,1,2,3,0,1,2,0.9,1,1.15,"large antique steamer trunk used as coffee table; bulky, heavy, one-piece",00:00.0,00:00.0
333,decorative_storage_trunk_coffee_table,"storage_trunk, coffee_table_trunk, decorative_trunk, storage_coffee_table",17,20,23,50,60,70,No,No,0,yes,6,8,12,0,0,2,0,2,6,0,0,0,0,1,2,0,1,1,0.9,1,1.1,"Medium decorative trunk used as coffee table; moderate volume, single-person handleable",00:00.0,00:00.0
334,storage_trunk_coffee_table,"storage_trunk_coffee_table, trunk_coffee_table, coffee_table_with_storage, blanket_trunk_table, storage_coffee_table",18.7,22,25.3,225,265,305,Yes,No,0,depends,6,10,14,0,0,0,4,6,8,10,12,14,1,2,3,1,2,2,0.9,1,1.15,"Large wooden/composite storage-trunk coffee table; heavy and bulky, requires two movers",00:00.0,00:00.0
347,storage_trunk,"coffee_table_trunk, blanket_trunk, hope_chest, cedar_trunk, storage_chest",23.8,28,32.2,75,90,105,Yes,No,0,yes,5,8,12,0,4,6,0,6,8,0,0,0,0.5,1,2,0.5,1,1.5,0.9,0.98,1.1,Large wooden storage trunk used as a coffee table; bulky and typically requires two movers,00:00.0,00:00.0
352,trunk_coffee_table,"coffee_table_trunk,storage_trunk_table,blanket_trunk,trunk_table",17,20,23,50,60,70,No,No,0,yes,5,8,14,0,6,10,4,6,8,0,0,0,0.5,1.5,2.5,0.5,1.5,2,0.9,1,1.1,Wooden storage trunk used as coffee table; bulky but under two-person threshold.,00:00.0,00:00.0
354,decorative_storage_trunk,"storage_trunk, coffee_table_trunk, blanket_box, hope_chest, storage_chest, coffee_table",10.2,12,13.8,205,240,275,Yes,No,0,depends,5,8,12,0,0,0,4,6,8,5,10,12,0.5,1.5,2.5,0,1,2,0.9,1,1.1,"Medium decorative storage trunk used as coffee table; bulky and heavy, requires two people.",00:00.0,00:00.0
357,large_rectangular_dining_table,"dining_table,rectangular_table,large_table,wood_dining_table",34,40,46,1360,1600,1840,Yes,No,0,depends,6,9,14,6,8,12,5,8,10,5,10,15,0.5,1.5,3,0.5,1.5,2.5,0.9,1,1.15,large rectangular dining table with removable legs; bulky and often requires two movers,00:00.0,00:00.0
358,rectangular_dining_table,"dining_table_rectangular,rectangular_dining_table,large_dining_table,dining_table",23.8,28,32.2,715,840,965,Yes,No,0,depends,6,9,16,6,8,10,4,6,8,5,10,15,0.5,1.5,3,0.5,1.5,2.5,0.9,1,1.1,"large rectangular dining table; bulky, heavy, often requires leg removal",00:00.0,00:00.0
359,dining_table,"medium dining table,dining table,kitchen table,rectangular table,eat-in table",38.25,45,51.75,100,120,140,Yes,No,0,depends,5,8,14,4,10,14,4,6,8,0,0,0,0.5,1.5,3,0.5,1.5,2.5,0.9,1.02,1.12,"Medium dining table; bulky, often requires leg removal and two movers.",00:00.0,00:00.0
361,dining_table_rectangular,"dining_table, rectangular_dining_table, large_dining_table, rectangular_table",25.5,30,34.5,135,160,185,Yes,No,0,depends,7,10,15,6,10,12,4,6,8,0,5,10,1,2,3,0,1,2,0.9,1,1.12,Large rectangular wood dining table; often requires leg removal; bulky and heavy.,00:00.0,00:00.0
362,queen bed frame,"queen frame, bed frame queen",10,15,20,50,70,90,Yes,No,0,depends,10,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
363,queen mattress,mattress queen,25,30,35,60,70,80,Yes,Yes,0.15,yes,8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
364,queen headboard,headboard queen,5,8,12,20,30,40,No,No,0,yes,5,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
365,small vanity table,"vanity table small, dressing table small",8,10,12,30,40,50,No,No,0,yes,8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
366,small vanity stool,"vanity stool small, dressing stool small",2,3,4,5,8,10,No,Yes,0.1,yes,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
367,small nightstand,"nightstand small, bedside table small",4,6,8,15,20,25,No,No,0,yes,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
368,large area rug,"area rug large, rug large",10,15,20,40,60,80,Yes,Yes,0.15,yes,8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
369,round mirror,mirror round,1,2,3,10,15,20,No,No,0,yes,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fragile item,00:00.0,00:00.0
370,small mirror,"mirror, wall mirror, decorative mirror",1,2,4,5,10,20,No,No,0,yes,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
371,small area rug,"rug, throw rug, mat",0.5,1,2,5,10,20,No,Yes,0.1,yes,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
372,small accent chair,"accent chair, small chair, decorative chair",15,20,25,25,35,45,No,No,0,yes,8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
373,small side table,"end table, nightstand, small table",5,8,12,15,25,35,No,No,0,yes,5,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,00:00.0,00:00.0
374,3 seat sofa,"three seater couch, large sofa",50,65,80,120,150,180,Yes,No,0,depends,15,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"large furniture item, requires two persons",34:56.0,34:56.0
375,medium coffee table,"mid size coffee table, living room table",8,12,18,25,40,60,No,No,0,yes,6,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,34:56.0,34:56.0
376,small armchair,"small accent chair, small occasional chair, small club chair",15,20,25,40,55,70,No,No,0,yes,7,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,30:00.0,30:00.0
377,small round side table,"small end table, small accent table, small coffee table",3,5,7,10,15,20,No,No,0,yes,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standard item,30:00.0,30:00.0
378,medium dining table,"dining table, kitchen table, table",35,55,80,100,150,220,Yes,No,0,depends,12,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"standard item, often requires disassembly",00:00.0,00:00.0
379,large storage trunk,"storage trunk, trunk, large trunk, chest",10,15,20,40,60,80,Yes,Yes,0.15,yes,10,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"large, heavy, stackable item",00:00.0,00:00.0
381,wooden bench,"bench, wood bench, medium bench",7,8,9,40,45,50,No,No,0,yes,4,7,11,0,0,0,0,2,4,0,0,0,0.5,1,2,0.5,1,1.5,0.9,1,1.1,"medium wooden bench, similar to small table/large chair, not stackable",00:00.0,00:00.0
383,storage trunk,"trunk, storage chest, chest",4.3,5,5.8,65,75,85,Yes,Yes,20,yes,7,8,9,0,0,0,0,0,0,0,0,0,1,1.5,2,1,1.5,2,0.9,1,1.1,"medium storage trunk, similar to heavy box or small chest",00:00.0,00:00.0
385,small bookshelf,"bookshelf small, bookcase small, small bookcase",4,5,6,65,75,85,No,No,0,yes,5,7,9,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,"Small furniture, typically one person, fits elevator.",00:00.0,00:00.0
388,large office chair,"office chair, desk chair, executive chair",7,10,15,45,50,60,No,No,0,yes,5,8,12,0,0,0,0,2,4,0,0,0,0.5,1,2,0.5,1,1.5,0.9,1,1.1,"Based on chair archetype, adjusted for office chair specifics. Not stackable, fits elevator.",00:00.0,00:00.0
391,two seat wooden bench,"2 seat wooden bench,two seater bench,wooden bench",13,15,17,75,90,105,Yes,No,0,depends,5,8,12,0,0,0,0,4,6,0,0,0,1,2,3,1,1,2,0.9,1,1.1,"Based on chair/loveseat archetype, adjusted for bench dimensions and weight.",00:00.0,00:00.0
394,decorative trunk,"large decorative trunk, decorative chest, storage trunk",8.5,10,11.5,100,120,140,Yes,No,0,yes,7,8,9,0,0,0,3,4,5,0,0,0,1,2,3,1,1,2,0.9,1,1.1,"Mapped to large chest archetype, adjusted for decorative nature.",00:00.0,00:00.0
397,small dining chair,"dining chair, kitchen chair, side chair",5,6,7,10,15,20,No,Yes,20,yes,3,4,5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,0.5,1,0.9,1,1.1,"Based on chair archetype, adjusted for small dining chair. Stackable.",00:00.0,00:00.0
399,bookshelf,"bookcase, shelving unit, storage unit",15,28,55,40,80,140,Yes,No,0,depends,5,9,15,0,0,0,0,4,8,0,0,5,1,2,3,1,2,3,0.9,1,1.1,"Similar to dresser, adjusted for height and shelves.",00:00.0,00:00.0
412,wall mounted cabinet,"cabinet wall mounted, kitchen cabinet, bathroom cabinet",7.7,9,10.4,35,40,45,Yes,No,0,yes,7,8,9,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,"Small to medium furniture, often moved as one piece.",00:00.0,00:00.0
413,wall lamp,"sconce, light fixture wall",0.4,0.5,0.6,5,10,15,No,Yes,20,yes,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.9,1,1.1,"Small, fragile item, usually boxed for transport.",00:00.0,00:00.0
415,wall cabinet,"medium wall cabinet, kitchen cabinet, upper cabinet",10,12,14,50,60,70,Yes,No,0,yes,7,8,9,0,0,0,0,0,0,0,0,0,0.5,1,2,0.5,1,1.5,0.9,1,1.1,"based on dresser archetype, adjusted for wall cabinet dimensions and weight",34:56.0,34:56.0
416,wardrobe cabinet,"tall wardrobe cabinet, armoire, clothing cabinet",34,40,46,170,200,230,Yes,No,0,depends,12,14,16,6,6,6,4,4,4,5,5,5,1,2,3,1,1.5,2,0.95,1.05,1.15,"based on large dresser archetype, adjusted for height and weight; often has shelves",34:56.0,34:56.0
420,medium wardrobe cabinet,"wardrobe, cabinet",38.25,45,51.75,190,225,260,Yes,No,0,depends,10,12,14,5,6,7,0,0,0,9,10,12,3,3,4,2,2,3,0.9,1,1.15,"Large cabinet, often tall and heavy. Requires two people.",02:49.4,02:49.4
421,small wall cabinet,"wall cabinet, cabinet",7.65,9,10.35,40,45,50,No,Yes,15,yes,3,4,5,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0.9,1,1.1,"Small, stackable cabinet, typically for wall mounting.",02:49.4,02:49.4
425,tall bookshelf,"bookshelf, bookcase",15,20,30,205,240,275,Yes,No,0,depends,7,10,14,3,5,7,0,0,0,0,10,12,1,2,3,1,2,3,0.9,1,1.1,"Tall, heavy furniture item, often requires two people and some disassembly.",28:40.6,28:40.6
426,large cabinet,"cabinet, storage cabinet, cupboard",30,40,60,215,250,300,Yes,No,0,depends,9,12,16,5,8,12,0,0,0,10,15,20,2,3,4,1,2,3,0.9,1,1.1,"Large, heavy furniture item, often requires two people and some disassembly.",28:40.6,28:40.6
427,large framed artwork,"artwork, painting, picture, framed picture",6,10,15,100,120,140,Yes,No,0,yes,5,8,12,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0.95,1.05,1.15,"Fragile, flat item, requires careful handling and protection.",28:40.6,28:40.6
428,large potted plant,"plant, potted tree, large plant",10,15,25,230,270,310,Yes,No,0,depends,7,10,14,0,0,0,5,8,10,10,15,20,1,2,3,1,2,3,0.95,1.05,1.15,"Heavy, bulky, and fragile item, requires careful handling and protection.",28:40.6,28:40.6
429,medium office chair,"office chair, desk chair",7,8,9,35,40,45,No,No,0,yes,7,8,9,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0.9,1,1.1,"Mapped to chair archetype, standard office chair.",33:16.8,33:16.8
430,large map design storage trunk,"large trunk, map trunk, storage trunk",21.25,25,28.75,130,150,175,Yes,Yes,15,depends,9,10,12,0,0,0,4,6,8,0,5,8,1,2,3,1,2,3,0.9,1,1.1,"Large decorative storage trunk, similar to a chest. Heavy and bulky.",10:18.5,10:18.5
431,medium storage trunk,"trunk, storage box, chest",4,7,10,60,105,150,Yes,Yes,15,depends,4,7,10,0,0,0,0,0,0,0,0,5,0.5,1,1.5,0.5,1,1,0.9,1,1.1,Mapped to large box/small chest archetype. Assumed typical home storage trunk.,19:37.1,19:37.1
432,medium wooden bench,"bench, wooden bench",8,10,12,85,100,115,Yes,No,0,depends,7,8,9,4,5,6,5,6,7,0,0,0,1,1.5,2,1,1,1.5,0.9,1,1.1,"Bench, wooden. Volume/weight based on typical dining/entryway bench. Can be long.",15:31.6,15:31.6
433,medium outdoor bench,"outdoor bench, garden bench",21.25,25,28.75,100,120,140,Yes,No,0,depends,7,8,9,0,0,0,4,6,8,0,0,0,1,2,3,1,1.5,2,0.9,1,1.1,"Outdoor bench, similar to small sofa, can be heavy and long.",10:17.3,10:17.3
434,large decorative trunk,"trunk, storage trunk, chest",21,25,29,55,65,75,No,Yes,15,yes,6,8,12,0,0,0,0,0,0,0,0,0,1,1.5,2,0.5,1,1.5,0.9,1,1.1,"Trunk, boxy, decorative. Volume/weight based on typical large trunk.",43:57.7,43:57.7
435,large dining table,"dining table large, table dining large",25,30,40,100,150,220,Yes,No,0,depends,6,10,15,6,10,15,4,6,8,0,0,10,1,2,3,1,2,3,0.9,1,1.15,"Large furniture, often requires leg disassembly, bulky and heavy.",44:44.1,44:44.1
436,2 seat wooden bench,"two seat wooden bench, wooden bench, bench",21.25,25,28.75,60,70,80,Yes,No,0,depends,7,8,9,0,0,0,5,6,7,0,0,0,1,1.5,2.5,0.5,1,1.5,0.9,1,1.1,"New item. Bench, similar to small loveseat. Wooden construction. Can be bulky.",20:29.2,20:29.2
437,medium bookshelf,"bookshelf, bookcase",14,18,27,70,80,90,Yes,No,0,depends,6,9,12,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3,0.9,1,1.1,Based on typical medium bookshelf dimensions and weight.,30:35.7,30:35.7
438,large map trunk,"map trunk, large trunk, storage trunk",30,35,40,150,175,200,Yes,Yes,15,depends,6,10,15,0,0,0,4,6,8,5,10,15,1,2,3,1,2,3,0.9,1,1.15,"Large, heavy, bulky trunk. Assumed solid construction.",55:54.8,55:54.8
439,medium ergonomic office chair,"office chair, desk chair, ergonomic chair",5,8,10,45,50,60,No,No,0,yes,6,8,10,0,0,0,0,0,0,0,0,0,1,1.5,2,0.5,1,1.5,0.9,1,1.1,Mapped to chair archetype. Ergonomic features considered in base time.,30:11.1,30:11.1
440,round pedestal table,"pedestal table, round table",10,20,30,100,120,140,Yes,No,0,depends,6,10,15,6,8,10,4,6,8,0,0,0,1,2,3,1,2,3,0.9,1,1.1,"Round pedestal table, often disassembles, can be bulky.",33:09.1,33:09.1
441,round side table,"side table, end table, round table",5,6,7,20,25,30,No,No,0,yes,3,4,5,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,1,1.5,0.9,1,1.1,"Small round table, light wood/composite.",34:47.5,34:47.5
442,medium wooden dining table with drawer,"dining table, kitchen table, wood table",21,25,29,100,120,140,Yes,No,0,depends,8,10,12,8,10,12,4,6,8,0,5,10,1.5,2,3,1.5,2,2.5,0.95,1,1.15,"Medium wooden dining table, likely requires leg disassembly, has a drawer.",34:47.5,34:47.5
443,medium wooden table with drawer,"wooden table with drawer, table with drawer, medium table",8.5,10,11.5,60,70,80,Yes,No,0,depends,7,8,9,7,8,9,5,6,7,0,0,0,1.3,1.5,1.7,0.9,1,1.2,0.9,1,1.1,Medium wooden table with drawer. Volume/weight estimated for a sturdy piece.,33:46.1,33:46.1
444,queen bed with headboard,"queen bed, queen size bed, bed frame queen",15,25,35,100,120,150,Yes,No,0,depends,8,12,16,10,15,20,3,5,7,0,0,5,1.5,2.5,3.5,1,1.5,2,0.95,1,1.15,"Queen bed frame with headboard, often disassembled, bulky.",08:20.9,08:20.9
